*** NUMBER OF MASSES AND MASSES ***
N = 11
M = 1.0000E-01

*** SX and SY ***
(SX,SY) = diagonal elements of the S matrix

SX =    1.0000E+00
SY =    1.0000E+00

*** COORDINATES ***
IS   = solution counter
FCT  = objective function at the solution
FCT0 = objective function at the rotated solution for testing purposes
(X1,Y1) = X and Y coordinates of each point mass
  
IS        FCT             FCT0                 X1                          Y1...
  1     1.2456E-31     3.4369E-22      6.8048818645231324E-01     -7.0866754921337127E-01     -9.3660684225102497E-01     -6.8830071752426547E-01     -2.6098760071787630E-01     -5.4713547543324592E-01      5.4455619896451854E-02     -1.1610447192739362E+00      9.7897892921578056E-01     -8.2910333134511557E-02     -6.8048818646318432E-01      7.0866754919190256E-01      0.0000000000000000E+00      0.0000000000000000E+00     -5.4455619921768533E-02      1.1610447192704436E+00      9.3660684226038016E-01      6.8830071750233635E-01      2.6098760072297411E-01      5.4713547544977459E-01     -9.7897892923024332E-01      8.2910333114212004E-02
  2     1.6732E-31     3.7342E-22      0.0000000000000000E+00      0.0000000000000000E+00     -1.2110941231837211E-01      5.5992995539983115E-01      1.2110941230674162E-01     -5.5992995541754265E-01     -9.2763225657245163E-01      5.2507050180080361E-01      9.3707790648588685E-01      2.0268419906661997E-01     -6.2772869827104127E-01     -8.6148552899449427E-01      6.2772869826469435E-01      8.6148552898493813E-01      2.5720421466450749E-01     -1.1891424596300479E+00     -9.3707790649732348E-01     -2.0268419906969687E-01      9.2763225656790094E-01     -5.2507050179497183E-01     -2.5720421464067672E-01      1.1891424596242501E+00
  3     2.4650E-31     1.0901E-22      2.7196759703133211E-01     -1.0838157384847793E+00     -2.7196759704113166E-01      1.0838157384769580E+00     -6.4663066533404256E-01     -3.5713527825884739E-01     -4.9899928920340925E-01     -9.9981130129700413E-01      5.5454321617678981E-01     -4.8801500562925459E-01      6.4663066533303193E-01      3.5713527825410646E-01      0.0000000000000000E+00      0.0000000000000000E+00      4.9899928919405984E-01      9.9981130129144546E-01      1.1810336991685919E+00     -1.2868525610004317E-01     -5.5454321618246627E-01      4.8801500561871858E-01     -1.1810336991750670E+00      1.2868525609379075E-01
  4     5.6112E-31     9.8239E-23      3.0214274144099829E-01     -1.1232549897826078E+00     -4.5241206178569765E-01     -9.7780825564301288E-02      2.7592901643479989E-01      8.5685344389958473E-01      1.3676623870300010E-02     -4.6265615034593049E-01      7.6556593846224663E-01      4.7354349355875530E-01      1.2167547711096238E+00     -1.0811740080786444E-01     -3.9703028224597203E-01      1.1552266013020172E+00     -6.8526121060307588E-01     -8.7534693438617883E-01     -1.1629408090631899E+00      2.3678743591196261E-02     -4.9627728092484757E-01      5.1580549212975824E-01      6.1985255327054500E-01     -3.5795147362703850E-01
  5     7.0686E-31     5.0985E-23      8.4075206696988508E-02      1.0266892586421068E+00      6.7711142501740473E-01     -7.7632441183646483E-01     -7.0701458587938373E-02     -1.1350322196043763E+00      3.9988835033887238E-01      1.3152882814371225E-01      8.2833563382068864E-01      7.4178195595826946E-01      1.1069344754274932E+00     -1.0524475949665016E-01     -7.3066216260127304E-01      8.7145260333129082E-01     -1.0681458782794979E+00      6.4105944692632130E-02     -3.1530356883572935E-01      2.7585594991788354E-01     -8.9991309566396796E-02     -4.0916306019301507E-01     -8.2154071346274526E-01     -6.8565008958759932E-01
  6     2.3361E-30     5.7386E-26     -3.4005402708510123E-02     -1.0920996762672306E+00      7.3193050544372792E-02      1.0901746865267363E+00      7.6781789278823553E-01      7.1218356725578413E-01     -1.8849528894954909E-01      3.7599869955319215E-01      1.1394396209761017E+00     -5.5971956257517205E-02      6.9432147583660742E-01     -7.8400729440234951E-01     -7.7281729086825424E-01      8.2047095067997677E-01     -8.4950953561503806E-01     -7.4077843824397771E-01     -2.2443875856356563E-01     -3.5571440748827332E-01     -1.0226339918105820E+00      5.0234188689232219E-02      4.1712822833793833E-01     -2.0490320077721714E-02
  7     2.9506E-30     8.7897E-22     -4.5661967279732574E-01     -4.7120027392154695E-01      7.5553602282022103E-01      9.9017975698999527E-01     -2.4355328764476974E-01      9.8845236745079457E-01      0.0000000000000000E+00      0.0000000000000000E+00      2.4355328764227038E-01     -9.8845236746332876E-01     -6.2326368189795656E-01      2.0511851826118696E-01     -1.1290748395532006E+00      5.2581426344149551E-01     -7.5553602287038235E-01     -9.9017975698011584E-01      1.1290748395702954E+00     -5.2581426342242021E-01      4.5661967278447152E-01      4.7120027390075275E-01      6.2326368190765802E-01     -2.0511851826557995E-01
  8     6.7284E-30     2.0589E-26     -2.6862652394231684E-01      5.9312492109873949E-01     -1.1097181346074076E+00     -1.7134137866744051E-01      1.1645707486631343E+00      2.9467815526205376E-02     -5.1289793442967058E-01     -4.7362945994077715E-01      6.8612847508410413E-01      6.3359712973876614E-01      5.6989698601093086E-01     -3.1492031806363169E-01     -2.5900363405398014E-01     -1.0925883597530015E+00     -9.4141047489389496E-01      6.2614688661303319E-01      1.2193881487808909E-01      1.1585440458693914E+00      5.4933921156521537E-01     -9.8820040300174739E-01     -2.1753430631108719E-04     -2.0087945202135351E-04
  9     1.4816E-29     6.1386E-21      4.2827006299186043E-01     -8.9668509687677433E-01      9.0653682346839759E-01      2.0480212495372060E-02     -3.8733849810678106E-01     -9.1511108489695858E-01     -4.4662354564507112E-01     -1.0089987394541065E-02     -4.2827006298538550E-01      8.9668509687783859E-01     -1.4150110980864978E+00     -3.1967513317954381E-02      3.8733849811433863E-01      9.1511108489074133E-01      1.4150110980621067E+00      3.1967513311132394E-02      0.0000000000000000E+00      0.0000000000000000E+00      4.4662354561229756E-01      1.0089987392799246E-02     -9.0653682349728393E-01     -2.0480212499527823E-02
 10     1.7330E-29     5.5062E-27     -4.3481274706841411E-01      6.6749521581032667E-01      8.9130246762902626E-02      1.1221817492487103E+00      1.1255439517699939E+00     -1.9669567087775473E-02     -1.0480993418046676E+00      3.9072032846018179E-01     -9.9768839102626350E-01     -3.7723764650446445E-01     -4.7183330106034088E-01     -9.5658962127942282E-01      8.0838013003666842E-01      7.3373497375579178E-01      2.5879202365462611E-01      2.3489538105754831E-01     -2.3945756907083909E-01     -2.1734625410703348E-01      2.8766564018287527E-01     -1.0809362075638052E+00      6.2237935758486163E-01     -4.9724835182772104E-01
